Stop_id,Stop_Name
10,RUBIANA
100,TOSCANA
1000,CIMABUE
10001,FIOCHETTO
1001,INDUNO
1002,INDUNO
1003,CATTANEO OVEST
1004,CATTANEO OVEST
1005,CATTANEO EST
1006,CATTANEO EST
1007,POMA
1008,POMA
1009,SIRACUSA
101,VALDELLATORRE
1010,SIRACUSA
10100,PARCHEGGIO E STAZIONE STURA
1011,TRAIANO
1012,CAIO MARIO NORD
1013,CAIO MARIO NORD
1014,CAIO MARIO EST
1015,CAIO MARIO EST
1016,CROCE
1017,CROCE
1018,ARTOM
1019,ARTOM
102,GROSSETO
1020,SETTE COMUNI
1021,SETTE COMUNI
1022,PLINIO
1023,BENGASI OVEST
1024,BENGASI SUD
1025,TARTINI
1026,BENGASI SUD
1027,GORIZIA
1028,GORIZIA
1029,SAN MATTEO
103,PIANEZZA
1030,SAN MATTEO
1031,GOBETTI
1032,GOBETTI
1033,VICO
1034,VICO
1035,PESCHIERA
1036,PESCHIERA
1037,TRIESTE OVEST
1038,TRIESTE OVEST
104,PIANEZZA
1040,PONTE CAVALIERI TEMPLARI
1041,CADUTI PER LA LIBERTÀ
1042,CADUTI PER LA LIBERTÀ
1043,CATTANEO
1044,CATTANEO
1045,DELLACHÀ
1046,DELLACHÀ
1047,FAILLA
1049,FAILLA
105,REGINA MARGHERITA
1050,BUOZZI
1051,BUOZZI
1052,NASI
1053,NASI
1054,SETTEMBRINI
1055,PONTE PO
1057,TORINO
106,REGINA MARGHERITA
1063,XXV APRILE
1064,XXV APRILE
1065,PALLAVICINO
1066,ISTITUTO MAXWELL
1067,PRACAVALLO
1068,PRACAVALLO
1069,CESANA
107,APPIO CLAUDIO
1070,CESANA
1071,POLIAMBULATORI
1072,PRINCIPI D'ACAJA
1073,CASTELLO DI MIRAFIORI
1074,CASTELLO DI MIRAFIORI
1075,FARINELLI
1076,PLAVA
1077,BISCARETTI
1078,BISCARETTI
1079,VIGLIANI
10793,SAN MAURO (SAMBUY)
10796,CASTIGLIONE (MOLINO)
10799,CASTIGLIONE (PEDAGGIO)
108,APPIO CLAUDIO
1080,SETTEMBRINI
10802,CASTIGLIONE (FORNACE)
10805,CASTIGLIONE (REZZA)
10808,CASTIGLIONE (SANT' EUFEMIA)
1081,PAVESE
10811,GASSINO (CIRCONVALLAZIONE / DIAZ)
10814,GASSINO (CENTRO)
1082,PRINCIPI D'ACAJA
1083,CAIO MARIO CAP
1084,STUPINIGI
1085,TORINO
1088,DON MINZONI
1089,GORIZIA
109,LESSONA
1090,MARTIRI DELLA LIBERTÀ
1092,RONDÒ BERNARDO
1093,LARGO DELLE ALPI
1094,GORIZIA EST
1095,VIGILI DEL FUOCO
1096,RONDÒ BERNARDO N.16
1097,STUPINIGI
1098,TORINO
1099,RONDÒ BERNARDO
110,LESSONA
1100,SANGONE
1101,SANGONE
1102,CAIO MARIO
1103,CAIO MARIO
1104,BRAMANTE
1105,LEPANTO
1106,OSPEDALE MAURIZIANO
1107,MARONCELLI
1108,MAGELLANO
1109,LEVI
1110,VESPUCCI
1111,PERVINCHE
1112,SOMMEILLER
1113,PERVINCHE NORD
1114,PASTRENGO
1115,PRIMULE NORD
1116,STAZIONE NICHELINO
1117,LAGRANGE
1118,BOLZANO CAP
1119,CAIO MARIO CAP
1120,MARSIGLI CAP
1121,RIETI
1122,BRUNELLESCHI
1123,CHAMBERY
1124,LECCE
1125,SACRARIO DEL MARTINETTO
1126,SACRARIO DEL MARTINETTO
1127,PERVINCHE
1128,GIAMBONE
1130,RE UMBERTO
11303,RIVALTA (FIAT RIVALTA-CANC. 8)
11306,RIVALTA (FIAT RIVALTA-CANC. 5)
1131,OSPEDALE MAURIZIANO
1132,OSPEDALE MAURIZIANO
1133,ROCCABRUNA
1134,ROCCABRUNA
1135,NIZZA
1136,NIZZA
1137,MADAMA CRISTINA
1139,GIURIA
1140,GIURIA
1141,ALTA DI MONGRENO N.16
1142,MORANDI
1144,FABRIZI
1145,OSPEDALE SAN LUIGI CAP
1146,SECRETO
1147,SANGONE
1148,MONDOVI'
1149,ARONA
1150,CASTELLO DEL DROSSO
1151,CASTELLO DEL DROSSO
1152,ANSELMETTI
1153,ANSELMETTI
1154,DROSSO
1155,DROSSO
1157,ROVEDA
1158,NEGARVILLE CAP
1159,NEGARVILLE EST
116,RIVOLI SUD
1160,JONA
1161,FACCIOLI
1162,FACCIOLI
1163,VALLARSA
1164,VALLARSA
1165,UNIONE SOVIETICA
1166,OSPEDALE VALLETTA
1167,TORINO
1168,TORINO
1169,PORTOFINO
117,RIVOLI SUD
1170,PORTOFINO
1171,ISLER
1172,ISLER
1173,VERGA
1174,VERGA
1175,PARCO COLONNETTI
1176,PARCO COLONNETTI
1177,SAPRI
1178,PISACANE
1179,PISACANE
118,BARDONECCHIA
1180,LA MANTA C.23
1181,SOMALIA
1182,MARONCELLI CAP
1183,AUTOSTRADE NORD
1184,CANDIOLO CAP
1185,PAVESE
1186,IVREA
1187,IVREA
1188,ANTIOCA
1189,ANTIOCA
119,BARDONECCHIA
1190,BELGIOIOSO
1191,BELGIOIOSO
1192,CENA
1193,CENA
1194,REISS ROMOLI
1195,OXILIA
1197,PORTA SUSA CAP
1198,REBAUDENGO SUD
1199,REBAUDENGO SUD
12,POZZO STRADA
120,PESCHIERA
1200,VERCELLI N.168
1201,GOTTARDO
1202,RONDISSONE
1203,RONDISSONE
1204,LAURO ROSSI
1205,LAURO ROSSI
1206,VALPRATO
1207,VALPRATO
1208,CRISPI NORD
1209,CRISPI NORD
121,PESCHIERA
1210,CRISPI SUD
1211,CRISPI SUD
1214,VII CIRCOSCRIZIONE
1215,VII CIRCOSCRIZIONE
1216,EMILIA
1217,EMILIA
1218,BOLZANO CAP
1219,LEONARDO DA VINCI NORD
122,MONGINEVRO
1220,PASTRENGO
1222,SAN PAOLO
1223,ISSIGLIO
1224,ISSIGLIO
1225,TOLMINO
1226,TOLMINO
12263,LEINI (V.LE EUROPA/V.VOLPIANO)
1227,MARMOLADA
1228,MARMOLADA
1229,ORBASSANO OVEST
123,MONGINEVRO
1230,ORBASSANO OVEST
1231,EXILLES
1232,CAIO MARIO CAP
1233,STAZIONE
1234,LEINI
1235,GIORDANO BRUNO
1236,CARDUCCI NORD
1237,MOLINETTE
1238,OSPEDALE MOLINETTE
1239,ZARA
124,LANCIA
1240,ZARA
1241,SABAUDIA
1242,SABAUDIA
1243,PONTE DEL GATTO
1244,PONTE DEL GATTO
1245,XXV APRILE N.29
1246,XXV APRILE N.68
1247,XXV APRILE N.65
1248,XXV APRILE N.102
1249,XXV APRILE N.102
125,LANCIA
1250,VAL PATTONERA
12506,LEINI (STR. VOLPIANO 23)
12509,LEINI (BALTEA-BUFFETTI)
1251,VAL PATTONERA
12512,LEINI (MANTOVANI)
12515,VOLPIANO (BAR PINA)
12518,VOLPIANO (GOMMISTA)
1252,XXV APRILE N.167
12521,VOLPIANO (BV. CEBROSA)
12524,VOLPIANO (STAZIONE)
1253,XXV APRILE N.164
1254,CAVORETTO CAP
1255,XXV APRILE N.56
1256,QUERCE SUD
1257,ULIVI N.12
1258,QUERCE
1259,ABETI NORD
126,PARCO RUFFINI
1260,ABETI NORD
1261,VOLGOGRAD NORD
1262,VOLGOGRAD NORD
1263,VOLGOGRAD SUD
1264,VOLGOGRAD SUD
1265,ULIVI
1266,ROBINIE
1267,ABETI
1268,FRASSINI
1269,FRASSINI
127,PARCO RUFFINI
1270,BETULLE
1271,BETULLE
1272,ABBADIA DI STURA
1273,ABBADIA DI STURA
1274,CUORGNÈ
1275,CUORGNÈ
1276,VERCELLI
1277,VERCELLI
1278,GIULIO CESARE
1279,GIULIO CESARE
128,MONFALCONE
1280,SCOTELLARO
1281,SCOTELLARO
1282,OXILIA
1283,OXILIA
1284,PORPORA
1285,GOTTARDO
1286,MARTORELLI
1287,XXV APRILE NORD
1288,XXV APRILE NORD
1289,TORRICELLI
129,MONFALCONE
1290,TORRICELLI
1291,GIULIO CESARE
1292,CASTELLO DI MIRAFIORI
1294,SOLFERINO
1295,RE UMBERTO
1297,PORTA SUSA CAP
1298,XVIII DICEMBRE
13,RIVOLI
130,SEBASTOPOLI
1300,PORTA SUSA
1301,DON BOSCO
1302,DON BOSCO
1303,CIRIÈ
1304,CIRIÈ
13043,SETTIMO (C.SO BRUNELLESCHI)
1305,FORTINO
1306,FORTINO
1307,BALDISSERA
1308,BALDISSERA
1309,CIGNA
131,SEBASTOPOLI
1310,CIGNA
1311,CRISPI OVEST
1312,CRISPI OVEST
1313,REGIO PARCO
1314,ARONA
1315,PIRANDELLO
1316,STURA
1317,D'AZEGLIO
1318,CHIOMO
1319,ROMOLO E REMO
132,FILADELFIA
1320,STURA C.2
1322,PUGLIA C.3
1323,STURA
1324,PUGLIA N.35
1325,STURA C.2
1326,PUGLIA C.4
1327,CENTRO COMMERCIALE
1328,MONDOVÌ
1329,PISTOIA
133,FILADELFIA
1330,TEMPIA
1331,TEMPIA
1332,CAFASSO
1333,CENTRO COMMERCIALE
1334,CENTRO COMMERCIALE
1335,ROMANIA N.546
1336,ROMANIA N.546
1337,NERVI
1338,CASCINETTE C.6 CAP
1339,VILLAGGIO OLIMPIA
134,PITAGORA NORD
1340,VITTORIO VENETO
1341,CREMONA
1342,NERVI
1345,TORINO N.91
1346,TORINO N.91
1347,TORINO N.116
1348,TORINO N.116
1349,BARACCA
135,PITAGORA NORD
1350,BARACCA
1351,CUNEO
1352,MEUCCI
1353,ALESSANDRIA
1354,AVOGADRO
1355,GRIBAUDIA
1356,ROSSELLI
1357,ROMA
1358,MONTELLO
1359,GALILEI
136,PITAGORA SUD
1360,VOLTA
1361,GRAMSCI
1362,PARK STURA CAP
1363,COMO
1364,PARK STURA CAP
1365,MARONCELLI CAP
1366,DI VITTORIO
1367,DI VITTORIO
1368,MONVISO
1369,MONVISO
137,PITAGORA SUD
1370,PARK CAIO MARIO
1371,LEINI
1372,PARK CAIO MARIO
1373,LEVI
1375,FALCHERA CAP
1377,VERCELLI
1378,SCIALOJA CAP
1379,ALA DI STURA
138,DANDOLO
1380,ALA DI STURA
1381,DELLA CELLA
1382,DELLA CELLA
1383,VERONESE
1384,PREVIATI
1386,MASSARI
1387,FEA
1388,FEA
1389,FERMI
139,DANDOLO
1390,FERMI
1391,LULLI
1392,LULLI
1393,PIRANDELLO
1394,GALILEO FERRARIS OVEST
1396,REYCEND
1397,CASCINA NUOVA
1398,VANINETTI
1399,MOGLIA
140,TAZZOLI
1400,FEA
1401,DEL NOBILE N.27
1402,BREGLIO
1403,DEL NOBILE N.55
14039,SAN FRANCESCO
1404,SOSPELLO
1405,CRIMEA
1406,COPPINO
1407,SAN VINCENZO OVEST
1408,SAORGIO
1409,SAN VINCENZO OVEST
141,TAZZOLI
1410,VIBÒ
1411,XVIII DICEMBRE
1412,BOSTON
1413,PINEROLO
1414,BOSTON
1415,VITTORIO EMANUELE II CAP
1416,SAN MAURIZIO CAP
1417,GRAN MADRE
1418,GRAN MADRE
1419,BIAMONTI
142,TAZZOLI C.2
1420,BIAMONTI
1421,VILLA DELLA REGINA
1422,VILLA DELLA REGINA
1423,CAPPUCCINI
1424,CAPPUCCINI
1425,LANZA
1426,LANZA
1427,RIGHINO
1429,LICEO VALSALICE
143,TAZZOLI C.2
1430,LICEO VALSALICE
1431,MOROZZO
1432,DEL NOBILE N.27
1433,DEL NOBILE N.55
1434,DEL NOBILE N.87
1435,MARONCELLI
1436,SAN VINCENZO CAP
1437,TADINI EST
1438,VAL SALICE
14384,CASELLE (STR. TORINO 9)
1439,VAL SALICE N.57
144,D'ARBOREA
1440,TADINI
1441,ADUA
1442,GABETTI CAP
1443,MONCALVO
1444,GOZZANO
1445,PONTE TROMBETTA
1446,PONTE TROMBETTA
1447,SAN MARTINO SUPERIORE
1448,SAN MARTINO SUPERIORE
1449,SAN MARTINO N.66
145,D'ARBOREA
1450,SAN MARTINO N.66
1451,SAN MARTINO N.82
1452,SAN MARTINO N.82
1453,SANT'ANNA
1454,SANT'ANNA
14549,CASELLE (OSPEDALE)
1455,SANT'ANNA N.9
1456,SANT'ANNA N.9
1457,SANT'ANNA N.52
1458,SANT'ANNA N.45
1459,SANT'ANNA N.79
146,AGNELLI C.3
1460,SANT'ANNA N.79
14609,LEINI (STR. SETTIMO 129)
1461,SANT'ANNA N.74
14612,LEINI (FORNACINO)
