stop_id,stop_code,stop_name,stop_desc,stop_url
6,10, 10 - RUBIANA,RUBIANA - TESORIERA,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=10
7,100, 100 - TOSCANA,C. POTENZA N.102 / A,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=100
8,1000, 1000 - CIMABUE,V. RUBINO N.79,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1000
8324,10001, 10001 - FIOCHETTO,AUTOSTAZIONE DORA,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=10001
9,1001, 1001 - INDUNO,C. TAZZOLI N.221,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1001
10,1002, 1002 - INDUNO,C. TAZZOLI N.202,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1002
11,1003, 1003 - CATTANEO OVEST,C. TAZZOLI / P.CATTANEO,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1003
12,1004, 1004 - CATTANEO OVEST,C. TAZZOLI N.162,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1004
13,1005, 1005 - CATTANEO EST,C. TAZZOLI DOPO P.CATTANEO,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1005
14,1006, 1006 - CATTANEO EST,C. TAZZOLI / P.CATTANEO,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1006
15,1007, 1007 - POMA,C. TAZZOLI FRONTE V. POMA,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1007
16,1008, 1008 - POMA,C. TAZZOLI / V. POMA,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1008
17,1009, 1009 - SIRACUSA,C. TAZZOLI CANC. 1,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1009
18,101, 101 - VALDELLATORRE,VAL DELLA TORRE,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=101
19,1010, 1010 - SIRACUSA,C. TAZZOLI / C. SIRACUSA,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1010
8768,10100, 10100 - PARCHEGGIO E STAZIONE STURA,PARK STURA,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=10100
20,1011, 1011 - TRAIANO,C. AGNELLI / C. TRAIANO,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1011
21,1012, 1012 - CAIO MARIO NORD,C. AGNELLI / P.LE CAIO MARIO,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1012
22,1013, 1013 - CAIO MARIO NORD,C. AGNELLI / P.LE CAIO MARIO,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1013
23,1014, 1014 - CAIO MARIO EST,V. VIGLIANI N.6,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1014
24,1015, 1015 - CAIO MARIO EST,V. VIGLIANI N.9,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1015
25,1016, 1016 - CROCE,V. VIGLIANI FRONTE C. CROCE,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1016
26,1017, 1017 - CROCE,V. VIGLIANI / C. CROCE,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1017
27,1018, 1018 - ARTOM,V. VIGLIANI / V. ARTOM,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1018
28,1019, 1019 - ARTOM,V. VIGLIANI DOPO V. PIO VII,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1019
29,102, 102 - GROSSETO,STR. ALTESSANO / C. GROSSETO,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=102
30,1020, 1020 - SETTE COMUNI,V. VIGLIANI / V. MILLELIRE,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1020
31,1021, 1021 - SETTE COMUNI,V. VIGLIANI PRIMA DI V. VII COMUNI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1021
32,1022, 1022 - PLINIO,V. VIGLIANI N.184,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1022
33,1023, 1023 - BENGASI OVEST,BENGASI OVEST - M1,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1023
34,1024, 1024 - BENGASI SUD,C. ROMA N.83 MONCALIERI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1024
35,1025, 1025 - TARTINI,V. BOTTICELLI N.80,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1025
36,1026, 1026 - BENGASI SUD,C. ROMA / V. TIEPOLO MONCALIERI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1026
37,1027, 1027 - GORIZIA,C. ROMA N.51 MONCALIERI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1027
38,1028, 1028 - GORIZIA,C. ROMA N.58 MONCALIERI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1028
39,1029, 1029 - SAN MATTEO,C. ROMA N.45 MONCALIERI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1029
40,103, 103 - PIANEZZA,C. POTENZA / V. PIANEZZA,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=103
41,1030, 1030 - SAN MATTEO,C. ROMA / V. MONCENISIO MONCALIERI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1030
42,1031, 1031 - GOBETTI,C. ROMA N.41 / 2 MONCALIERI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1031
43,1032, 1032 - GOBETTI,C. ROMA N.30 MONCALIERI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1032
44,1033, 1033 - VICO,C. ROMA N.35 BIS MONCALIERI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1033
45,1034, 1034 - VICO,C. ROMA FRONTE V. VICO MONCALIERI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1034
46,1035, 1035 - PESCHIERA,C. ROMA N.27 MONCALIERI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1035
47,1036, 1036 - PESCHIERA,C. ROMA N.20 MONCALIERI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1036
48,1037, 1037 - TRIESTE OVEST,C. ROMA N.19 MONCALIERI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1037
49,1038, 1038 - TRIESTE OVEST,C. ROMA FRONTE CIVICO 17 - MONCALIERI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1038
51,104, 104 - PIANEZZA,C. POTENZA DOPO V. PIANEZZA,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=104
52,1040, 1040 - PONTE CAVALIERI TEMPLARI,C. TRIESTE FRONTE V. SAN VINCENZO MONCALIERI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1040
53,1041, 1041 - CADUTI PER LA LIBERTÀ,CADUTI PER LA LIBERTA' - STAZIONE,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1041
54,1042, 1042 - CADUTI PER LA LIBERTÀ,CADUTI PER LA LIBERTA' - STAZIONE,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1042
55,1043, 1043 - CATTANEO,V. CAVOUR N.34 BIS MONCALIERI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1043
56,1044, 1044 - CATTANEO,V. CAVOUR FRONTE N.36 MONCALIERI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1044
57,1045, 1045 - DELLACHÀ,DELLACHA' (OSP. SANTA CROCE),http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1045
58,1046, 1046 - DELLACHÀ,DELLACHA' (OSP. SANTA CROCE),http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1046
59,1047, 1047 - FAILLA,V. TENIVELLI / P.FAILLA MONCALIERI,http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&palina=1047
