"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"191088E","1","1","1","1","1","1","0","20231013","20231230"
"191089E","0","0","0","0","0","1","0","20231014","20231230"
"191090E","0","0","0","0","0","0","0","20231225","20231225"
"191091E","1","1","1","1","1","0","0","20231013","20231229"
"191092E","1","1","1","1","1","0","0","20231013","20231229"
"191093E","1","1","1","1","1","0","0","20231013","20231229"
"191094E","0","0","0","0","0","1","0","20231014","20231230"
"191095E","0","0","1","1","1","0","0","20231227","20231229"
"191096E","0","0","0","0","0","1","0","20231014","20231230"
"191098E","1","1","1","1","1","0","0","20231013","20231229"
"191105E","0","0","0","0","0","0","1","20231015","20231231"
"191106E","0","0","1","1","1","0","0","20231227","20231229"
"191107E","0","0","0","0","0","1","0","20231014","20231230"
"191108E","0","0","0","0","0","1","0","20231014","20231230"
"191109E","1","1","1","1","1","0","0","20231013","20231222"
"191110E","0","0","0","0","0","1","0","20231230","20231230"
"191111E","1","1","1","1","1","1","0","20231013","20231223"
"191113E","1","1","1","1","1","0","0","20231013","20231229"
"191114E","1","1","1","1","1","1","0","20231013","20231230"
"191115E","0","0","0","0","0","0","0","20231225","20231225"
"191116E","0","0","0","0","0","1","0","20231014","20231230"
"191117E","1","1","1","1","1","0","0","20231013","20231229"
"191118E","1","1","1","1","1","1","0","20231013","20231223"
"191125E","1","1","1","1","1","0","0","20231013","20231229"
"191126E","0","0","0","0","0","1","0","20231014","20231230"
"191127E","0","0","1","1","1","0","0","20231227","20231229"
"191128E","1","1","1","1","1","0","0","20231013","20231229"
"191129E","0","0","0","0","0","1","0","20231014","20231223"
"191130E","1","1","1","1","1","1","0","20231013","20231230"
"191131E","1","1","1","1","1","1","0","20231013","20231230"
"191132E","1","1","1","1","1","0","0","20231013","20231229"
"191133E","0","0","1","1","1","0","0","20231227","20231229"
"191134E","1","1","1","1","1","0","0","20231013","20231222"
"191135E","1","0","0","0","0","0","0","20231016","20231218"
"191136E","1","0","0","0","1","0","0","20231013","20231222"
"191137E","1","0","1","0","1","0","0","20231013","20231222"
"191139E","1","1","1","1","1","1","0","20231013","20231230"
"191140E","0","0","0","0","0","0","1","20231015","20231231"
"191141E","0","0","0","0","0","1","0","20231014","20231230"
"191142E","1","1","1","1","1","0","0","20231013","20231229"
"191143E","0","0","0","0","0","1","0","20231014","20231230"
"191144E","1","1","1","1","1","0","0","20231013","20231229"
"191145E","1","1","1","1","1","0","0","20231013","20231229"
"191147E","0","0","0","0","0","1","0","20231014","20231230"
"191148E","1","1","1","1","1","0","0","20231013","20231222"
"191149E","1","1","1","1","1","0","0","20231013","20231222"
"191150E","1","1","1","1","1","0","0","20231013","20231222"
"191152E","0","0","0","0","0","0","1","20231015","20231231"
"191153E","1","1","1","1","1","0","0","20231013","20231229"
"191156E","0","0","1","1","1","0","0","20231227","20231229"
"191157E","0","0","1","1","1","0","0","20231227","20231229"
"191158E","0","0","1","1","1","0","0","20231227","20231229"
"191159E","1","1","1","1","1","1","0","20231013","20231230"
"191160E","1","1","1","1","1","1","0","20231013","20231230"
"191161E","1","1","1","1","1","1","0","20231013","20231230"
"191162E","1","1","1","1","1","1","0","20231013","20231230"
"191163E","1","1","1","1","1","1","0","20231013","20231230"
"191164E","0","0","1","1","1","1","0","20231227","20231230"
"191165E","0","0","0","0","0","0","1","20231015","20231231"
"191167E","0","0","0","0","0","0","1","20231015","20231231"
"191168E","1","1","1","1","1","0","0","20231013","20231222"
"191169E","0","0","0","0","0","1","0","20231014","20231230"
"191171E","1","1","1","1","1","1","0","20231013","20231230"
"191172E","1","1","1","1","1","0","0","20231013","20231222"
"191173E","0","0","0","0","0","1","0","20231230","20231230"
"191174E","0","0","0","1","0","0","0","20231019","20231221"
"191175E","1","1","1","1","1","0","0","20231013","20231229"
"191176E","1","1","1","1","1","0","0","20231013","20231229"
"191181E","0","0","1","0","0","0","0","20231018","20231220"
"191182E","0","0","0","0","0","1","0","20231014","20231230"
"191183E","1","1","1","1","1","1","0","20231013","20231230"
"191184E","1","1","1","1","1","0","0","20231013","20231229"
"191185E","1","1","1","1","1","0","0","20231013","20231229"
"191186E","1","1","1","1","1","1","0","20231013","20231230"
"191187E","1","1","1","1","1","1","0","20231013","20231230"
"191188E","0","0","0","0","0","1","0","20231014","20231230"
"191189E","1","1","1","1","1","1","0","20231013","20231230"
"191190E","1","1","1","1","1","0","0","20231013","20231229"
"191191E","1","1","1","1","1","1","0","20231013","20231230"
"191192E","1","0","0","0","0","0","0","20231016","20231218"
"191193E","1","1","1","1","1","1","0","20231013","20231223"
"191194E","0","0","0","0","0","1","0","20231014","20231223"
"191195E","1","1","1","1","1","1","0","20231013","20231230"
"191196E","0","0","0","0","0","1","0","20231014","20231230"
"191198E","0","0","0","0","0","1","0","20231014","20231230"
"191199E","0","0","0","0","0","1","0","20231014","20231230"
"191200E","1","1","1","1","1","1","1","20231013","20231231"
"191201E","1","1","1","1","1","0","0","20231013","20231222"
"191202E","0","0","0","0","0","1","0","20231014","20231230"
"191203E","1","1","1","1","1","0","0","20231013","20231229"
"191204E","0","0","1","0","0","0","0","20231018","20231227"
"191205E","0","0","0","0","0","0","0","20231225","20231225"
"191206E","0","0","0","0","0","0","0","20231225","20231225"
"191207E","1","1","1","1","1","0","0","20231013","20231229"
"191208E","1","1","1","1","1","0","0","20231013","20231229"
"191209E","1","1","1","1","1","0","0","20231013","20231229"
"191210E","0","0","1","1","1","1","0","20231227","20231230"
"191211E","1","1","1","1","1","0","0","20231013","20231229"
"191212E","1","1","1","1","1","0","0","20231013","20231229"
"191213E","1","1","1","1","1","0","0","20231013","20231229"
"191228E","0","0","0","0","0","0","1","20231015","20231231"
"191229E","0","0","0","0","0","1","0","20231014","20231230"
"191230E","0","0","0","0","0","1","0","20231014","20231230"
"191231E","1","1","1","1","1","0","0","20231013","20231222"
"191235E","0","0","0","0","0","1","0","20231014","20231230"
"191236E","0","0","1","1","1","0","0","20231227","20231229"
"191237E","0","0","0","0","0","1","0","20231014","20231230"
"191238E","0","0","0","0","0","0","1","20231015","20231231"
"191240E","0","0","1","1","1","1","0","20231227","20231230"
"191243E","1","1","1","1","1","0","0","20231013","20231222"
"191244E","1","1","1","1","1","0","0","20231013","20231229"
"191245E","1","1","1","1","1","0","0","20231013","20231222"
"191246E","1","1","1","1","1","0","0","20231013","20231222"
"191247E","1","1","1","1","1","1","0","20231013","20231230"
"191248E","0","0","1","1","1","0","0","20231227","20231229"
"191249E","0","0","0","0","0","1","0","20231014","20231223"
"191250E","0","0","0","0","0","1","0","20231014","20231223"
"191251E","0","0","0","0","0","1","0","20231014","20231223"
"191252E","0","0","1","0","1","0","0","20231013","20231222"
"191254E","0","0","0","0","0","1","0","20231014","20231230"
"191255E","1","0","0","0","0","0","0","20231016","20231218"
"191256E","0","1","0","0","0","0","0","20231017","20231219"
"191257E","0","0","1","1","0","0","0","20231018","20231221"
"191258E","0","1","0","1","1","0","0","20231013","20231222"
"191259E","1","0","1","0","1","0","0","20231013","20231222"
"191260E","1","0","1","0","1","0","0","20231013","20231222"
"191261E","1","0","1","0","1","0","0","20231013","20231222"
"191262E","0","0","0","0","0","0","0","20231225","20231225"
"191263E","0","0","0","0","0","1","0","20231014","20231230"
"191264E","1","1","1","1","1","0","0","20231013","20231229"
"191265E","1","1","1","1","1","0","0","20231013","20231222"
"191266E","1","1","1","1","1","0","0","20231013","20231229"
"191267E","0","0","0","0","0","1","0","20231014","20231230"
"191268E","0","0","0","0","0","1","0","20231014","20231230"
"191269E","0","0","0","0","0","1","0","20231014","20231230"
"191270E","0","0","0","0","0","1","0","20231014","20231230"
"191271E","1","1","1","1","1","1","0","20231013","20231223"
