"service_id","date","exception_type"
"191088E","20231013","1"
"191088E","20231014","1"
"191088E","20231016","1"
"191088E","20231017","1"
"191088E","20231018","1"
"191088E","20231019","1"
"191088E","20231020","1"
"191088E","20231021","1"
"191088E","20231023","1"
"191088E","20231024","1"
"191088E","20231025","1"
"191088E","20231026","1"
"191088E","20231027","1"
"191088E","20231028","1"
"191088E","20231030","1"
"191088E","20231031","1"
"191088E","20231101","2"
"191088E","20231102","1"
"191088E","20231103","1"
"191088E","20231104","1"
"191088E","20231106","1"
"191088E","20231107","1"
"191088E","20231108","1"
"191088E","20231109","1"
"191088E","20231110","1"
"191088E","20231111","1"
"191088E","20231113","1"
"191088E","20231114","1"
"191088E","20231115","1"
"191088E","20231116","1"
"191088E","20231117","1"
"191088E","20231118","1"
"191088E","20231120","1"
"191088E","20231121","1"
"191088E","20231122","1"
"191088E","20231123","1"
"191088E","20231124","1"
"191088E","20231125","1"
"191088E","20231127","1"
"191088E","20231128","1"
"191088E","20231129","1"
"191088E","20231130","1"
"191088E","20231201","1"
"191088E","20231202","1"
"191088E","20231204","1"
"191088E","20231205","1"
"191088E","20231206","1"
"191088E","20231207","1"
"191088E","20231208","2"
"191088E","20231209","1"
"191088E","20231211","1"
"191088E","20231212","1"
"191088E","20231213","1"
"191088E","20231214","1"
"191088E","20231215","1"
"191088E","20231216","1"
"191088E","20231218","1"
"191088E","20231219","1"
"191088E","20231220","1"
"191088E","20231221","1"
"191088E","20231222","1"
"191088E","20231223","1"
"191088E","20231225","2"
"191088E","20231226","2"
"191088E","20231227","1"
"191088E","20231228","1"
"191088E","20231229","1"
"191088E","20231230","1"
"191089E","20231014","1"
"191089E","20231021","1"
"191089E","20231028","1"
"191089E","20231104","1"
"191089E","20231111","1"
"191089E","20231118","1"
"191089E","20231125","1"
"191089E","20231202","1"
"191089E","20231209","1"
"191089E","20231216","1"
"191089E","20231223","1"
"191089E","20231230","1"
"191090E","20231225","1"
"191091E","20231013","1"
"191091E","20231016","1"
"191091E","20231017","1"
"191091E","20231018","1"
"191091E","20231019","1"
"191091E","20231020","1"
"191091E","20231023","1"
"191091E","20231024","1"
"191091E","20231025","1"
"191091E","20231026","1"
"191091E","20231027","1"
"191091E","20231030","1"
"191091E","20231031","1"
"191091E","20231101","2"
"191091E","20231102","1"
"191091E","20231103","1"
"191091E","20231106","1"
"191091E","20231107","1"
"191091E","20231108","1"
"191091E","20231109","1"
"191091E","20231110","1"
"191091E","20231113","1"
"191091E","20231114","1"
"191091E","20231115","1"
"191091E","20231116","1"
"191091E","20231117","1"
"191091E","20231120","1"
"191091E","20231121","1"
"191091E","20231122","1"
"191091E","20231123","1"
"191091E","20231124","1"
"191091E","20231127","1"
"191091E","20231128","1"
"191091E","20231129","1"
"191091E","20231130","1"
"191091E","20231201","1"
"191091E","20231204","1"
"191091E","20231205","1"
"191091E","20231206","1"
"191091E","20231207","1"
"191091E","20231208","2"
"191091E","20231211","1"
"191091E","20231212","1"
"191091E","20231213","1"
"191091E","20231214","1"
"191091E","20231215","1"
"191091E","20231218","1"
"191091E","20231219","1"
"191091E","20231220","1"
"191091E","20231221","1"
"191091E","20231222","1"
"191091E","20231225","2"
"191091E","20231226","2"
"191091E","20231227","1"
"191091E","20231228","1"
"191091E","20231229","1"
"191092E","20231013","1"
"191092E","20231016","1"
"191092E","20231017","1"
"191092E","20231018","1"
"191092E","20231019","1"
"191092E","20231020","1"
"191092E","20231023","1"
"191092E","20231024","1"
"191092E","20231025","1"
"191092E","20231026","1"
"191092E","20231027","1"
"191092E","20231030","1"
"191092E","20231031","1"
"191092E","20231101","2"
"191092E","20231102","1"
"191092E","20231103","1"
"191092E","20231106","1"
"191092E","20231107","1"
"191092E","20231108","1"
"191092E","20231109","1"
"191092E","20231110","1"
"191092E","20231113","1"
"191092E","20231114","1"
