"timetable_id","stop_id","stop_sequence"
"169","5285","1"
"169","125","2"
"169","2043","3"
"169","2094","4"
"169","2104","5"
"169","2092","6"
"169","5315","7"
"169","2133","8"
"169","7085","9"
"169","5287","10"
"169","2912","11"
"169","2917","12"
"169","5356","13"
"169","5323","14"
"169","5320","15"
"169","7093","16"
"169","5322","17"
"169","5324","18"
"169","5331","20"
"169","5337","21"
"169","5353","22"
"169","7881","23"
"169","5350","24"
"170","5285","1"
"170","125","2"
"170","2043","3"
"170","2094","4"
"170","2104","5"
"170","2092","6"
"170","5315","7"
"170","2133","8"
"170","7085","9"
"170","5287","10"
"170","2912","11"
"170","2917","12"
"170","5356","13"
"170","5323","14"
"170","5320","15"
"170","7093","16"
"170","5322","17"
"170","5324","18"
"170","5331","20"
"170","5337","21"
"170","5353","22"
"170","7881","23"
"170","5350","24"
"171","5285","1"
"171","125","2"
"171","2043","3"
"171","2094","4"
"171","2104","5"
"171","2092","6"
"171","5315","7"
"171","2133","8"
"171","7085","9"
"171","5287","10"
"171","2912","11"
"171","2917","12"
"171","5356","13"
"171","5323","14"
"171","5320","15"
"171","7093","16"
"171","5322","17"
"171","5324","18"
"171","5331","20"
"171","5337","21"
"171","5353","22"
"171","7881","23"
"171","5350","24"
"172","7047","1"
"172","7864","2"
"172","7028","3"
"172","5337","5"
"172","7863","6"
"172","7019","7"
"172","2890","8"
"172","2407","9"
"172","2408","10"
"172","2054","11"
"172","124","12"
"172","5285","13"
"173","7047","1"
"173","7864","2"
"173","7028","3"
"173","5337","5"
"173","7863","6"
"173","7019","7"
"173","2890","8"
"173","2407","9"
"173","2408","10"
"173","2054","11"
"173","124","12"
"173","5285","13"
"174","7047","1"
"174","7864","2"
"174","7028","3"
"174","5337","5"
"174","7863","6"
"174","7019","7"
"174","2890","8"
"174","2407","9"
"174","2408","10"
"174","2054","11"
"174","124","12"
"174","5285","13"
